"Age"
"(m) L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th"
"23 2.057523 47.2778 4.02E-02 43.54843 44.03461 44.77234 45.97716 47.2778 48.54165 49.65012 50.30115 50.71922"
"24 2.10149 47.3577 3.99E-02 43.64854 44.13272 44.86703 46.06534 47.3577 48.61234 49.71181 50.35717 50.77145"
"25 2.132824 47.42918 3.95E-02 43.74251 44.22414 44.95436 46.14542 47.42918 48.67474 49.76569 50.40582 50.81665"
"26 2.151776 47.49645 3.92E-02 43.83404 44.31267 45.03823 46.22145 47.49645 48.7332 49.81619 50.45154 50.85927"
"27 2.158819 47.56337 3.89E-02 43.92651 44.40174 45.12219 46.29716 47.56337 48.79167 49.86732 50.49838 50.90337"
"28 2.154635 47.63264 3.85E-02 44.02217 44.49371 45.20871 46.37515 47.63264 48.85291 49.92187 50.54914 50.95174"
"29 2.140106 47.70589 3.82E-02 44.12231 44.58993 45.29922 46.45697 47.70589 48.9186 49.98149 50.60545 51.00601"
"30 2.116251 47.78452 3.79E-02 44.22797 44.69151 45.39494 46.54394 47.78452 48.99015 50.04761 50.66869 51.06754"
"31 2.084149 47.86946 3.76E-02 44.33978 44.79914 45.49664 46.63695 47.86946 49.06849 50.12113 50.73978 51.13721"
"32 2.044935 47.96051 0.0373559 44.45732 44.91246 45.60402 46.73575 47.96051 49.15342 50.20178 50.81839 51.21468"
"33 1.999784 48.05689 3.71E-02 44.57967 45.03061 45.71627 46.83958 48.05689 49.24413 50.28872 50.90361 51.299"
"34 1.949959 48.15741 0.036812 44.70553 45.1523 45.83214 46.94724 48.15741 49.33935 50.3806 50.99407 51.38875"
"35 1.896819 48.26078 3.66E-02 44.83353 45.27621 45.95036 47.05748 48.26078 49.43777 50.476 51.08828 51.48241"
"36 1.84183 48.36522 3.63E-02 44.96187 45.40056 46.06916 47.16852 48.36522 49.5375 50.57297 51.1842 51.57788"
"37 1.786574 48.46861 3.61E-02 45.08842 45.52324 46.18647 47.27831 48.46861 49.63635 50.66917 51.27942 51.6727"
"38 1.732738 48.56807 3.58E-02 45.21039 45.64148 46.29951 47.38403 48.56807 49.73132 50.76149 51.37074 51.76358"
"39 1.682087 48.65997 3.56E-02 45.32427 45.75177 46.40477 47.48215 48.65997 49.81866 50.84601 51.45412 51.84642"
"40 1.635708 48.74256 3.54E-02 45.42837 45.85243 46.50056 47.57095 48.74256 49.89653 50.92082 51.52759 51.91922"
"41 1.593709 48.81722 3.51E-02 45.52401 45.94477 46.58822 47.65179 48.81722 49.96635 50.98735 51.59261 51.98343"
"42 1.556129 48.88592 3.49E-02 45.61307 46.03068 46.66964 47.72661 48.88592 50.03013 51.04765 51.65123 52.04112"
"43 1.52294 48.94985 3.47E-02 45.69672 46.11134 46.74601 47.79657 48.94985 50.08908 51.10297 51.70473 52.09357"
"44 1.493929 49.01028 3.45E-02 45.77621 46.188 46.81855 47.86293 49.01028 50.1445 51.15461 51.75443 52.14214"
"45 1.46865 49.06872 3.43E-02 45.85305 46.26214 46.88877 47.92719 49.06872 50.19793 51.20418 51.80196 52.18845"
"46 1.446665 49.12607 3.41E-02 45.92818 46.33471 46.95758 47.99023 49.12607 50.25029 51.25261 51.84828 52.23349"
"47 1.427601 49.18317 3.39E-02 46.00247 46.40655 47.02582 48.0529 49.18317 50.30243 51.30077 51.89428 52.27817"
"48 1.411117 49.2413 3.37E-02 46.07722 46.47895 47.09477 48.11647 49.2413 50.35566 51.35001 51.94132 52.32385"
"49 1.396857 49.302 3.35E-02 46.15394 46.55344 47.16596 48.18247 49.302 50.41153 51.40191 51.99101 52.37217"
"50 1.384654 49.36485 3.33E-02 46.23233 46.62969 47.23902 48.2505 49.36485 50.46961 51.45603 52.04289 52.42266"
"51 1.374441 49.42837 3.31E-02 46.31104 46.70633 47.31256 48.31913 49.42837 50.52837 51.51078 52.09538 52.47371"
"52 1.365843 49.49183 3.29E-02 46.38944 46.78271 47.38592 48.38765 49.49183 50.58706 51.56543 52.14771 52.52459"
"53 1.358476 49.55444 3.28E-02 46.46687 46.85816 47.45838 48.45532 49.55444 50.64488 51.61917 52.19909 52.57448"
"54 1.352016 49.6149 3.26E-02 46.54219 46.9315 47.52874 48.52088 49.6149 50.7005 51.67062 52.24813 52.62199"
"55 1.346175 49.67169 0.032376 46.61403 47.00134 47.59558 48.58284 49.67169 50.75233 51.71818 52.29322 52.66549"
"56 1.340603 49.72526 3.22E-02 46.68288 47.06817 47.65936 48.64169 49.72526 50.80085 51.76232 52.33482 52.70547"
"57 1.335177 49.77718 0.0319982 46.75022 47.13348 47.7216 48.69894 49.77718 50.84766 51.8047 52.37462 52.74363"
"58 1.329885 49.82841 3.18E-02 46.81693 47.19815 47.78319 48.75552 49.82841 50.89373 51.8463 52.41362 52.78097"
"59 1.324733 49.87906 3.16E-02 46.88313 47.2623 47.84424 48.81155 49.87906 50.93919 51.88725 52.45194 52.81762"
"60 1.319751 49.9299 3.14E-02 46.94954 47.32667 47.90552 48.8678 49.9299 50.98484 51.92837 52.49042 52.8544"
