"(m) L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th"
"30 -0.3341185 48.76301 3.48E-02 45.70924 46.07807 46.65379 47.63742 48.76301 49.92437 51.00139 51.66081 52.09516"
"31 -0.5885084 48.85564 0.0347511 45.8207 46.18476 46.75439 47.73146 48.85564 50.02247 51.11098 51.78051 52.22283"
"32 -0.8395363 48.94877 3.48E-02 45.93116 46.29075 46.85467 47.82566 48.94877 50.12138 51.22175 51.90176 52.35234"
"33 -1.082859 49.0402 3.48E-02 46.03859 46.39401 46.9526 47.91793 49.0402 50.21863 51.33091 52.02146 52.4804"
"34 -1.313986 49.12773 3.48E-02 46.14094 46.49251 47.04617 48.00624 49.12773 50.31177 51.43558 52.13644 52.60359"
"35 -1.530048 49.21129 3.48E-02 46.23814 46.5862 47.13533 48.09053 49.21129 50.40058 51.53532 52.24604 52.72108"
"36 -1.728654 49.29287 3.48E-02 46.33211 46.67701 47.22205 48.17281 49.29287 50.48696 51.63187 52.35182 52.83431"
"37 -1.906703 49.3737 3.48E-02 46.42402 46.76613 47.30754 48.25434 49.3737 50.57204 51.72608 52.45443 52.94371"
"38 -2.060411 49.45293 3.47E-02 46.51305 46.85276 47.39104 48.33432 49.45293 50.65475 51.81654 52.5521 53.04727"
"39 -2.187088 49.53061 3.47E-02 46.59928 46.937 47.47263 48.41287 49.53061 50.73499 51.90287 52.64422 53.14417"
"40 -2.283951 49.60655 3.46E-02 46.68256 47.01869 47.55219 48.48985 49.60655 50.81241 51.98447 52.72993 53.2333"
"41 -2.347113 49.67839 3.46E-02 46.76058 47.09555 47.62743 48.56297 49.67839 50.88445 52.05839 52.80595 53.31116"
"42 -2.371746 49.74288 3.45E-02 46.83012 47.16439 47.69522 48.6291 49.74288 50.94763 52.12076 52.86807 53.37323"
"43 -2.355124 49.79902 3.44E-02 46.89017 47.22421 47.75457 48.68726 49.79902 51.00082 52.17027 52.9148 53.41789"
"44 -2.299296 49.84828 3.42E-02 46.94225 47.27651 47.80693 48.73889 49.84828 51.0456 52.2087 52.94812 53.44727"
"45 -2.207465 49.89029 3.41E-02 46.98619 47.32108 47.85205 48.78365 49.89029 51.08172 52.23605 52.96827 53.46183"
"46 -2.084899 49.92589 3.39E-02 47.02296 47.35882 47.89075 48.82229 49.92589 51.11026 52.25387 52.97725 53.46392"
"47 -1.937053 49.95722 3.37E-02 47.05467 47.3918 47.92507 48.85685 49.95722 51.13371 52.2652 52.97855 53.45744"
"48 -1.768603 49.98489 3.36E-02 47.08195 47.42062 47.95554 48.88786 49.98489 51.1529 52.2713 52.97384 53.44433"
"49 -1.583715 50.00873 0.0333638 47.1047 47.44514 47.98198 48.91508 50.00873 51.16787 52.27256 52.96381 53.42556"
"50 -1.386978 50.03133 3.32E-02 47.12545 47.46785 48.00687 48.941 50.03133 51.18149 52.27224 52.95207 53.40501"
"51 -1.182461 50.05632 3.30E-02 47.14761 47.49217 48.03362 48.96909 50.05632 51.19765 52.27465 52.94322 53.38751"
"52 -0.973416 50.08593 3.28E-02 47.17331 47.52021 48.06433 49.00148 50.08593 51.21878 52.28249 52.94019 53.37613"
"53 -0.7624592 50.12079 3.26E-02 47.2032 47.5526 48.09961 49.03877 50.12079 51.24561 52.2966 52.94392 53.37191"
"54 -0.5518538 50.15989 3.25E-02 47.23647 47.58849 48.13856 49.07998 50.15989 51.27712 52.31604 52.95351 53.37398"
"55 -0.3430789 50.20412 3.23E-02 47.27403 47.62878 48.18206 49.12599 50.20412 51.31428 52.34182 52.97002 53.38342"
"56 -0.1377046 50.25581 3.22E-02 47.31812 47.67571 48.23235 49.17906 50.25581 51.35945 52.3764 52.99594 53.40277"
"57 6.28E-02 50.31604 3.20E-02 47.36996 47.73046 48.2906 49.24032 50.31604 51.41376 52.4209 53.03245 53.43318"
"58 0.2575816 50.3853 0.0318868 47.43018 47.79365 48.35735 49.31026 50.3853 51.47763 52.47571 53.07985 53.47495"
"59 0.4468933 50.46309 3.18E-02 47.49849 47.86495 48.43227 49.38851 50.46309 51.55049 52.54015 53.13741 53.52728"
"60 0.6329499 50.54625 3.16E-02 47.57188 47.94136 48.51235 49.47197 50.54625 51.62897 52.61064 53.20137 53.5863"
