Length/height L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th
78 0.4004248 10.21869 0.120771 8.053205 8.308016 8.709721 9.406501 10.21869 11.07152 11.87441 12.3711 12.70023
79 0.3882626 10.42203 0.119739 8.233883 8.491208 8.896955 9.600989 10.42203 11.28466 12.09723 12.60014 12.93348
80 0.3750334 10.6232 0.1188151 8.411933 8.671784 9.081616 9.793039 10.6232 11.496 12.31871 12.82817 13.16597
81 0.3603671 10.82251 0.1180085 8.587424 8.849832 9.263824 9.982851 10.82251 11.70602 12.53951 13.05599 13.39857
82 0.3437487 11.02064 0.1173195 8.760907 9.025903 9.444142 10.17103 11.02064 11.91555 12.76063 13.2847 13.63249
83 0.3246102 11.21828 0.1167415 8.933077 9.200675 9.623228 10.35822 11.21828 12.12533 12.98293 13.51528 13.86878
84 0.3025268 11.4159 0.1162614 9.104557 9.374743 9.801638 10.54492 11.4159 12.33583 13.20693 13.74827 14.108
85 0.2771594 11.61411 0.1158596 9.276223 9.548946 9.980155 10.73185 11.61411 12.54764 13.43316 13.98423 14.35074
86 0.248644 11.81333 0.115518 9.44867 9.723865 10.15933 10.91948 11.81333 12.76107 13.6619 14.22337 14.59718
87 0.218793 12.01385 0.1152316 9.621753 9.899446 10.33924 11.10804 12.01385 12.97636 13.89321 14.46562 14.84712
88 0.1896434 12.21605 0.1149988 9.795282 10.07562 10.51997 11.29781 12.21605 13.19386 14.12726 14.71097 15.10041
89 0.1625203 12.42039 0.1148217 9.96922 10.25243 10.70168 11.48913 12.42039 13.41404 14.36446 14.95975 15.35731
90 0.1376438 12.62744 0.1147066 10.14382 10.43018 10.88474 11.68246 12.62744 13.63761 14.60563 15.21283 15.61872
91 0.1148545 12.83771 0.1146558 10.31942 10.60921 11.06952 11.87823 12.83771 13.86517 14.85146 15.47097 15.88545
92 9.38E-02 13.05142 0.1146671 10.49626 10.78975 11.25624 12.07664 13.05142 14.09696 15.10226 15.73453 16.15789
93 7.44E-02 13.26828 0.11473 10.67433 10.97176 11.44478 12.2775 13.26828 14.33262 15.35759 16.00302 16.43553
94 5.67E-02 13.48771 0.1148284 10.85338 11.15496 11.63482 12.48038 13.48771 14.57138 15.61648 16.27533 16.71716
95 4.07E-02 13.70918 0.1149456 11.03332 11.3392 11.82616 12.68492 13.70918 14.81253 15.87801 16.55041 17.00163
96 2.56E-02 13.93287 0.115069 11.21474 11.52502 12.0192 12.89141 13.93287 15.05616 16.14226 16.82837 17.28909
97 9.59E-03 14.15972 0.1151879 11.39906 11.71373 12.21515 13.10088 14.15972 15.30325 16.41041 17.11057 17.58104
98 -8.98E-03 14.39103 0.1152882 11.58815 11.9071 12.41562 13.31474 14.39103 15.55517 16.68402 17.39876 17.87941
99 -3.14E-02 14.62794 0.1153688 11.78331 12.10637 12.62179 13.53411 14.62794 15.81318 16.9646 17.69471 18.18616
100 -5.78E-02 14.87064 0.1154428 11.98452 12.31153 12.83366 13.75907 14.87064 16.07764 17.25273 17.99915 18.50214
101 -8.75E-02 15.11883 0.1155243 12.19107 12.52195 13.0507 13.9892 15.11883 16.34836 17.54833 18.31205 18.82735
102 -0.1198175 15.37233 0.1156239 12.40239 12.7371 13.27246 14.22419 15.37233 16.62525 17.85133 18.63336 19.16177
103 -0.1541407 15.63109 0.1157498 12.61812 12.95667 13.4987 14.4639 15.63109 16.90835 18.16186 18.96326 19.50557
104 -0.1899061 15.89491 0.1159138 12.83763 13.1801 13.72894 14.70799 15.89491 17.19757 18.47991 19.30178 19.85886
105 -0.2265982 16.16343 0.1161236 13.06033 13.40681 13.96267 14.95603 16.16343 17.49262 18.80527 19.64877 20.22149
106 -0.263854 16.43609 0.1163835 13.28551 13.63614 14.19923 15.2074 16.43609 17.79297 19.13741 20.0037 20.59294
107 -0.3015362 16.71204 0.1166987 13.51231 13.8672 14.43777 15.46125 16.71204 18.0978 19.47559 20.36588 20.97258
108 -0.3397124 16.99047 0.1170683 13.74008 14.09935 14.67759 15.71683 16.99047 18.40629 19.81898 20.73452 21.35965
109 -0.3788607 17.27085 0.1174891 13.96859 14.33229 14.91831 15.97366 17.27085 18.71788 20.16712 21.10927 21.75391
110 -0.4197028 17.55278 0.1179572 14.19782 14.56594 15.15978 16.23146 17.55278 19.0322 20.51978 21.49008 22.15546
111 -0.4626779 17.8359 0.1184675 14.42773 14.8002 15.40182 16.48993 17.8359 19.34884 20.87665 21.87677 22.56425
112 -0.5080999 18.11982 0.1190087 14.65841 15.03511 15.64437 16.74886 18.11982 19.66734 21.23723 22.2689 22.97992
113 -0.5562662 18.40433 0.1195685 14.89008 15.27085 15.88753 17.00819 18.40433 19.98733 21.60115 22.66614 23.40223
114 -0.60694 18.68935 0.1201385 15.12285 15.50751 16.13136 17.26794 18.68935 20.30864 21.96814 23.06823 23.83092
115 -0.6594775 18.97479 0.1207124 15.35662 15.745 16.3758 17.52806 18.97479 20.63107 22.33787 23.47473 24.26551
116 -0.7130179 19.26061 0.1212835 15.59124 15.98323 16.62082 17.78854 19.26061 20.95441 22.70988 23.88502 24.70524
117 -0.7666429 19.54665 0.1218472 15.82642 16.22195 16.86622 18.04926 19.54665 21.27839 23.08365 24.29832 25.14917
118 -0.820156 19.83283 0.1224057 16.06197 16.46099 17.11185 18.3101 19.83283 21.60292 23.45909 24.71458 25.59728
119 -0.8735929 20.11914 0.122961 16.29784 16.70029 17.35767 18.57102 20.11914 21.92802 23.83631 25.13401 26.04988
120 -0.9269697 20.40556 0.1235147 16.53399 16.93983 17.60364 18.83201 20.40556 22.25373 24.21539 25.5568 26.50724
121 -0.9803044 20.69206 0.1240676 16.77038 17.17955 17.84974 19.09303 20.69206 22.58001 24.59641 25.98308 26.96962
122 -1.033613 20.97862 0.1246206 17.00696 17.41943 18.09591 19.35404 20.97862 22.90687 24.97939 26.413 27.43727
